total_spend,total_visit,avg_weekly_visit,avg_weekly_spend,avg_basket_size,total_quantity
852.94,31,1.291666667,35.53916667,27.51419355,623
744.47,47,1.146341463,18.15780488,15.83978723,549
1150.19,178,2.144578313,13.85771084,6.461741573,827
3424.89,132,1.32,34.2489,25.94613636,2454
41.01,5,1.25,10.2525,8.202,26
2324.46,103,1.391891892,31.41162162,22.56757282,1675
139.02,5,1,27.804,27.804,98
1341.37,61,1.173076923,25.79557692,21.98967213,898
1566.81,67,1.175438596,27.48789474,23.38522388,1482
6031.53,168,1.647058824,59.13264706,35.90196429,4304
5020.85,624,5.333333333,42.91324786,8.046233974,3925
75.44,3,1,25.14666667,25.14666667,48
662.59,42,1.5,23.66392857,15.77595238,336
1005.37,50,1.041666667,20.94520833,20.1074,627
225.04,24,1.043478261,9.784347826,9.376666667,182
9.75,2,1,4.875,4.875,5
208.55,9,1,23.17222222,23.17222222,142
4524.25,208,1.890909091,41.12954545,21.75120192,3164
771.04,23,1.277777778,42.83555556,33.52347826,575
567.7,22,1.157894737,29.87894737,25.80454545,345
66.93,7,1,9.561428571,9.561428571,29
2050.53,61,1.22,41.0106,33.6152459,1616
2709.83,263,2.481132075,25.56443396,10.30353612,1965
2094.86,151,1.864197531,25.86246914,13.87324503,2228
1075.52,86,1.264705882,15.81647059,12.50604651,803
92.32,1,1,92.32,92.32,56
1971.91,71,1.203389831,33.42220339,27.77338028,1648
258.28,25,1.315789474,13.59368421,10.3312,197
747.52,23,1.095238095,35.59619048,32.50086957,509
50.41,4,1,12.6025,12.6025,34
1377.11,64,1.103448276,23.74327586,21.51734375,824
454.13,28,1,16.21892857,16.21892857,331
2609.62,146,1.569892473,28.06043011,17.87410959,1481
1631.42,63,1.3125,33.98791667,25.89555556,1578
459.79,183,1.726415094,4.337641509,2.512513661,560
1761.22,158,1.612244898,17.97163265,11.14696203,1319
1688.52,92,1.277777778,23.45166667,18.35347826,1045
338.93,38,1.085714286,9.683714286,8.919210526,242
536.02,77,1.262295082,8.787213115,6.961298701,493
622.28,38,1.357142857,22.22428571,16.37578947,316
542.38,71,1.42,10.8476,7.63915493,382
958.63,35,1,27.38942857,27.38942857,636
363.66,11,1.571428571,51.95142857,33.06,281
437.07,132,1.62962963,5.395925926,3.311136364,329
1134.99,25,1.136363636,51.59045455,45.3996,744
454.82,19,1.1875,28.42625,23.93789474,304
168.09,13,1.181818182,15.28090909,12.93,104
106.4,7,1,15.2,15.2,85
2510.18,90,1.285714286,35.85971429,27.89088889,2016
0.85,1,1,0.85,0.85,2
3351.05,260,2.321428571,29.92008929,12.88865385,2739
911.92,73,1.403846154,17.53692308,12.49205479,572
3797.31,127,1.175925926,35.16027778,29.90007874,3206
692.01,99,1.546875,10.81265625,6.99,748
3.43,2,1,1.715,1.715,6
3.57,2,1,1.785,1.785,6
4073.37,215,1.869565217,35.4206087,18.94590698,5059
628.02,15,1.071428571,44.85857143,41.868,379
402.99,11,1.1,40.299,36.63545455,271
1286.49,81,1.396551724,22.18086207,15.88259259,1319
1104.48,20,1,55.224,55.224,904
4523.18,248,2.296296296,41.8812963,18.23862903,3197
1310.61,244,2.595744681,13.94265957,5.371352459,1009
1142.79,109,1.493150685,15.65465753,10.48431193,908
2140.29,83,1.276923077,32.92753846,25.78662651,1533
3726.78,154,1.54,37.2678,24.19987013,4009
2363.35,49,1.139534884,54.96162791,48.23163265,1815
1168.17,41,1.138888889,32.44916667,28.49195122,785
3961.74,188,1.773584906,37.37490566,21.07308511,3968
3811.3,131,1.284313725,37.36568627,29.09389313,4339
96.04,13,1.3,9.604,7.387692308,87
491.22,16,1,30.70125,30.70125,514
1172.28,95,1.637931034,20.21172414,12.33978947,781
52.57,15,1.25,4.380833333,3.504666667,69
807.89,37,1.15625,25.2465625,21.83486486,823
1423.87,86,1.228571429,20.341,16.55662791,966
101.93,5,1,20.386,20.386,89
1089.19,50,1.388888889,30.25527778,21.7838,895
361.13,18,1,20.06277778,20.06277778,333
444.17,21,1.105263158,23.37736842,21.15095238,343
814.38,78,2.689655172,28.08206897,10.44076923,686
370.53,51,1.108695652,8.055,7.265294118,330
387.36,50,1.315789474,10.19368421,7.7472,436
352.47,25,1.086956522,15.32478261,14.0988,234
279.11,16,1.142857143,19.93642857,17.444375,226
256.53,8,1,32.06625,32.06625,157
14.13,1,1,14.13,14.13,10
620.88,130,1.382978723,6.605106383,4.776,598
305.94,42,1.2,8.741142857,7.284285714,255
80.7,1,1,80.7,80.7,53
819.64,18,1.125,51.2275,45.53555556,687
213.86,19,1.117647059,12.58,11.25578947,167
2033.88,93,1.291666667,28.24833333,21.86967742,1364
1879.02,69,1.045454545,28.47,27.23217391,1826
290.43,12,1.2,29.043,24.2025,199
599.03,24,1,24.95958333,24.95958333,349
1894.38,289,2.948979592,19.33040816,6.554948097,1694
246.17,6,1,41.02833333,41.02833333,298
258.38,9,1,28.70888889,28.70888889,177
279.82,27,1.038461538,10.76230769,10.3637037,152
2439.37,68,1.172413793,42.05810345,35.87308824,2020
155.33,15,1.071428571,11.095,10.35533333,99
639.84,22,1.1,31.992,29.08363636,529
2047.26,86,1.194444444,28.43416667,23.80534884,1512
596.85,53,1.358974359,15.30384615,11.26132075,574
427.76,48,1.371428571,12.22171429,8.911666667,511
1344.54,91,1.109756098,16.39682927,14.77516484,1090
1192.87,76,1.245901639,19.5552459,15.69565789,1400
423.22,29,1.115384615,16.27769231,14.5937931,335
289.66,20,1.176470588,17.03882353,14.483,255
108.05,24,1.090909091,4.911363636,4.502083333,77
2289.7,104,1.268292683,27.92317073,22.01634615,1582
103.26,7,1,14.75142857,14.75142857,71
269.53,13,1.181818182,24.50272727,20.73307692,153
71.52,1,1,71.52,71.52,72
1816.6,171,1.762886598,18.72783505,10.62339181,1730
799.77,21,1.166666667,44.43166667,38.08428571,564
133.19,14,1.555555556,14.79888889,9.513571429,125
45.02,2,1,22.51,22.51,37
112.98,6,1.2,22.596,18.83,81
944.79,45,1.25,26.24416667,20.99533333,810
1023.08,75,1.339285714,18.26928571,13.64106667,818
44.69,18,1.058823529,2.628823529,2.482777778,50
58.09,6,1.5,14.5225,9.681666667,55
2581.24,263,2.369369369,23.25441441,9.81460076,2974
114.69,4,1,28.6725,28.6725,140
221.08,10,1.25,27.635,22.108,159
31.42,2,1,15.71,15.71,35
564.53,64,1.361702128,12.0112766,8.82078125,385
448.05,23,1.095238095,21.33571429,19.48043478,503
2229.52,316,2.821428571,19.90642857,7.055443038,1832
1576.19,73,1.123076923,24.24907692,21.59164384,1509
228.24,43,1.023809524,5.434285714,5.307906977,511
581.32,19,1.117647059,34.19529412,30.59578947,535
369.56,23,1.15,18.478,16.06782609,268
193.43,26,1.529411765,11.37823529,7.439615385,139
278.74,16,1.142857143,19.91,17.42125,189
5.09,1,1,5.09,5.09,11
52.73,7,1.4,10.546,7.532857143,54
1042.79,60,1.132075472,19.67528302,17.37983333,845
2003.84,93,1.576271186,33.96338983,21.54666667,1653
2511.47,109,1.197802198,27.59857143,23.04100917,1958
102.54,4,1,25.635,25.635,104
169.92,6,1.2,33.984,28.32,210
401.54,19,1.055555556,22.30777778,21.13368421,350
2158.19,366,3.485714286,20.55419048,5.896693989,1984
1691.57,34,1.0625,52.8615625,49.75205882,1322
3744.26,214,2.098039216,36.70843137,17.49654206,2622
306.96,42,1.272727273,9.301818182,7.308571429,248
552.58,48,1.11627907,12.85069767,11.51208333,389
350.95,25,1.315789474,18.47105263,14.038,233
4075.86,198,1.783783784,36.71945946,20.58515152,3592
218.2,17,1.545454545,19.83636364,12.83529412,160
93.13,5,1,18.626,18.626,64
2614.35,170,1.545454545,23.76681818,15.37852941,2333
1477.13,163,1.831460674,16.59696629,9.062147239,671
680.26,23,1.095238095,32.39333333,29.57652174,401
240.18,11,1,21.83454545,21.83454545,231
1668.77,79,1.196969697,25.28439394,21.12367089,1135
2382.82,110,1.392405063,30.16227848,21.662,1896
1015.83,28,1,36.27964286,36.27964286,377
3676.03,307,2.692982456,32.24587719,11.97403909,3315
1569.93,54,1.125,32.706875,29.07277778,1070
2097.49,48,1.090909091,47.67022727,43.69770833,1839
51.46,4,1.333333333,17.15333333,12.865,32
1757.84,69,1.352941176,34.46745098,25.47594203,1782
84.87,10,1.25,10.60875,8.487,79
309.07,7,1,44.15285714,44.15285714,243
220.64,6,1.2,44.128,36.77333333,132
873.61,58,1.208333333,18.20020833,15.06224138,518
2224.47,99,1.337837838,30.06040541,22.46939394,1705
3850.33,86,1.036144578,46.38951807,44.77127907,2664
2472.51,135,1.363636364,24.97484848,18.31488889,1979
807.25,165,1.853932584,9.070224719,4.892424242,644
79.06,2,1,39.53,39.53,60
2926.14,174,2,33.6337931,16.81689655,1834
98.94,10,1.111111111,10.99333333,9.894,69
790.49,33,1.1,26.34966667,23.95424242,525
49.44,2,1,24.72,24.72,27
633.48,40,1.176470588,18.63176471,15.837,488
110.91,9,1.285714286,15.84428571,12.32333333,100
766.74,19,1.266666667,51.116,40.35473684,533
907.21,53,1.23255814,21.09790698,17.11716981,809
1280.17,89,1.390625,20.00265625,14.38393258,1059
209.96,5,1,41.992,41.992,118
191.03,8,1,23.87875,23.87875,101
1094.92,67,1.488888889,24.33155556,16.34208955,624
12.97,1,1,12.97,12.97,12
1869.02,202,1.81981982,16.83801802,9.252574257,1675
298.76,18,1.285714286,21.34,16.59777778,244
436.03,74,1.254237288,7.390338983,5.892297297,334
346.99,25,1.136363636,15.77227273,13.8796,315
1023.3,74,1.423076923,19.67884615,13.82837838,750
449.77,26,1.04,17.9908,17.29884615,249
270.2,32,1.28,10.808,8.44375,205
2203.83,52,1.106382979,46.89,42.38134615,1923
364.92,19,1.1875,22.8075,19.20631579,239
860.1,17,1.0625,53.75625,50.59411765,430
1596.89,68,1.114754098,26.17852459,23.48367647,1092
1633.29,39,1.147058824,48.03794118,41.87923077,1066
269.63,16,1.454545455,24.51181818,16.851875,270
136.79,37,1,3.697027027,3.697027027,162
719.76,52,1.130434783,15.64695652,13.84153846,679
787.24,90,1.084337349,9.484819277,8.747111111,1117
4081.23,227,2.008849558,36.11707965,17.97898678,3082
133.72,8,1,16.715,16.715,84
48.23,3,1,16.07666667,16.07666667,35
167.57,26,1.181818182,7.616818182,6.445,115
113.96,8,1,14.245,14.245,89
728.9,46,1.15,18.2225,15.84565217,821
289.42,13,1.181818182,26.31090909,22.26307692,165
2536.35,69,1.15,42.2725,36.75869565,2191
7189.03,114,1.106796117,69.79640777,63.06166667,5136
547.54,37,1.233333333,18.25133333,14.79837838,462
476.03,17,1.214285714,34.00214286,28.00176471,318
2008.5,78,1.444444444,37.19444444,25.75,1284
174.71,7,1.166666667,29.11833333,24.95857143,146
696.22,42,1.166666667,19.33944444,16.57666667,526
170.65,7,1.166666667,28.44166667,24.37857143,129
700.26,24,1.090909091,31.83,29.1775,523
4490.38,177,1.638888889,41.57759259,25.36937853,3939
697.55,35,1.166666667,23.25166667,19.93,478
1446.23,65,1.181818182,26.29509091,22.24969231,1206
3013.63,150,1.515151515,30.44070707,20.09086667,2145
97.89,5,1,19.578,19.578,91
1750.64,72,1.058823529,25.74470588,24.31444444,1755
307.23,48,1.297297297,8.303513514,6.400625,241
22.2,2,1,11.1,11.1,28
3491.23,64,1.122807018,61.24964912,54.55046875,2680
247.62,16,1.333333333,20.635,15.47625,290
175.64,5,1,35.128,35.128,128
1180.65,53,1.152173913,25.66630435,22.27641509,938
520.43,24,1.043478261,22.6273913,21.68458333,331
440.89,50,1,8.8178,8.8178,380
889.46,47,1.27027027,24.03945946,18.92468085,709
412.19,27,1.08,16.4876,15.2662963,280
120.92,8,1,15.115,15.115,47
380.74,27,1.35,19.037,14.10148148,292
1739.95,276,2.628571429,16.57095238,6.304166667,1510
30.65,1,1,30.65,30.65,21
328.02,8,1,41.0025,41.0025,328
88.86,7,1,12.69428571,12.69428571,79
475.56,22,1,21.61636364,21.61636364,354
131.5,6,1,21.91666667,21.91666667,73
2437.53,67,1.196428571,43.52732143,36.38104478,1465
10.75,1,1,10.75,10.75,8
1305.89,73,1.553191489,27.78489362,17.88890411,1367
156.46,5,1.666666667,52.15333333,31.292,126
51.02,2,1,25.51,25.51,41
82.61,14,1.076923077,6.354615385,5.900714286,61
2017.63,191,1.969072165,20.80030928,10.56350785,1904
85.89,5,1,17.178,17.178,88
143.61,4,1,35.9025,35.9025,133
597.56,29,1.16,23.9024,20.60551724,322
252.95,17,1.214285714,18.06785714,14.87941176,263
246.44,12,1.090909091,22.40363636,20.53666667,237
279.29,25,1.086956522,12.14304348,11.1716,267
138.2,4,1,34.55,34.55,95
758.94,69,1.326923077,14.595,10.99913043,579
2223.3,121,1.5125,27.79125,18.37438017,1151
23.05,3,1.5,11.525,7.683333333,14
1759.92,145,1.510416667,18.3325,12.13737931,1422
227.45,9,1.5,37.90833333,25.27222222,159
1325.94,65,1.547619048,31.57,20.39907692,741
2289.56,137,1.65060241,27.58506024,16.71211679,1919
1460.66,83,1.092105263,19.21921053,17.59831325,1666
556.63,40,1.904761905,26.50619048,13.91575,409
544.88,10,1,54.488,54.488,385
1976.86,120,1.5,24.71075,16.47383333,1818
1281.19,49,1.065217391,27.85195652,26.14673469,1104
3537.33,216,2.181818182,35.73060606,16.37652778,2335
412.58,5,1,82.516,82.516,330
2398.32,56,1.142857143,48.94530612,42.82714286,2218
1243.79,156,1.733333333,13.81988889,7.973012821,959
344.24,30,1.2,13.7696,11.47466667,251
157.84,32,1.28,6.3136,4.9325,169
376.85,58,1.414634146,9.191463415,6.497413793,302
111.72,13,1.625,13.965,8.593846154,86
437.05,20,1.052631579,23.00263158,21.8525,363
80.5,12,1.333333333,8.944444444,6.708333333,41
6.19,3,1.5,3.095,2.063333333,6
155.39,30,1.304347826,6.756086957,5.179666667,129
204.07,17,1.416666667,17.00583333,12.00411765,137
94.28,10,1,9.428,9.428,61
1881.87,149,1.585106383,20.01989362,12.63,1665
37.75,5,1.666666667,12.58333333,7.55,27
131.25,35,1.296296296,4.861111111,3.75,206
5240.34,217,1.870689655,45.17534483,24.14903226,3354
911.66,57,1.461538462,23.37589744,15.99403509,786
257.62,22,1.222222222,14.31222222,11.71,151
108.16,13,1.3,10.816,8.32,91
1333.24,77,1.350877193,23.39017544,17.31480519,879
58.94,3,1,19.64666667,19.64666667,46
1009.59,55,1.195652174,21.9476087,18.35618182,810
1913.83,87,1.380952381,30.37825397,21.99804598,1497
101.99,10,1,10.199,10.199,62
1059.8,62,1.631578947,27.88947368,17.09354839,742
232.68,22,1.466666667,15.512,10.57636364,183
987.33,77,1.262295082,16.1857377,12.82246753,765
396.33,15,1.071428571,28.30928571,26.422,264
1736.01,73,1.123076923,26.70784615,23.7809589,1139
1703.44,49,1.361111111,47.31777778,34.76408163,1217
1031.77,166,1.908045977,11.85942529,6.215481928,777
4612.55,262,2.519230769,44.35144231,17.60515267,4733
2582.35,93,1.409090909,39.12651515,27.7672043,2446
246.5,20,1,12.325,12.325,189
280.89,10,1.111111111,31.21,28.089,161
732.88,45,1.216216216,19.80756757,16.28622222,625
3100.95,164,1.64,31.0095,18.90823171,2779
239.44,19,1.055555556,13.30222222,12.60210526,111
873.97,70,1.627906977,20.32488372,12.48528571,745
4858.47,114,1.407407407,59.98111111,42.61815789,4958
456.48,8,1,57.06,57.06,207
241.56,5,1,48.312,48.312,167
4005.53,98,1.342465753,54.87027397,40.8727551,3346
7.73,2,1,3.865,3.865,9
2397.76,109,1.12371134,24.71917526,21.99779817,1841
580.47,33,1.269230769,22.32576923,17.59,423
218.2,19,1.357142857,15.58571429,11.48421053,168
479.04,28,1.272727273,21.77454545,17.10857143,440
788.49,34,1.0625,24.6403125,23.19088235,761
3653.7,171,1.5,32.05,21.36666667,1936
1723.07,214,1.927927928,15.52315315,8.051728972,1139
484.6,20,1.176470588,28.50588235,24.23,386
2031.12,178,1.711538462,19.53,11.41078652,1890
1298.23,50,1.25,32.45575,25.9646,999
92.41,47,1.044444444,2.053555556,1.966170213,203
2172.53,85,1.0625,27.156625,25.55917647,1345
78.59,9,1,8.732222222,8.732222222,74
1454.42,148,1.78313253,17.52313253,9.827162162,986
380.2,26,1.3,19.01,14.62307692,318
19.54,3,3,19.54,6.513333333,20
510.88,24,1.142857143,24.32761905,21.28666667,345
1850.71,121,1.613333333,24.67613333,15.29512397,1351
1115.82,23,1.045454545,50.71909091,48.51391304,524
27.27,3,1,9.09,9.09,18
109.7,16,1.066666667,7.313333333,6.85625,98
276.64,14,1.4,27.664,19.76,168
77.26,3,1,25.75333333,25.75333333,50
132.26,16,1,8.26625,8.26625,103
57.24,1,1,57.24,57.24,39
24.66,4,1.333333333,8.22,6.165,21
482.93,61,1.605263158,12.70868421,7.916885246,585
394.74,20,1,19.737,19.737,292
776.94,58,1.234042553,16.5306383,13.39551724,395
285.33,44,1.073170732,6.959268293,6.484772727,253
137.38,10,1.25,17.1725,13.738,98
2443.86,110,1.527777778,33.9425,22.21690909,3375
197.54,46,1.179487179,5.065128205,4.294347826,196
337.83,40,1.081081081,9.130540541,8.44575,200
102.75,3,1,34.25,34.25,70
469.24,28,1.272727273,21.32909091,16.75857143,460
1085.12,228,2.257425743,10.74376238,4.759298246,772
2036.26,43,1.102564103,52.21179487,47.35488372,1281
1811.06,82,1.261538462,27.86246154,22.08609756,1509
850.36,17,1,50.02117647,50.02117647,516
51.28,2,1,25.64,25.64,32
1064.04,77,1.013157895,14.00052632,13.8187013,1324
416.81,6,1,69.46833333,69.46833333,544
1470.16,243,2.963414634,17.92878049,6.050041152,1580
337.64,19,1.266666667,22.50933333,17.77052632,210
2484.21,142,1.494736842,26.14957895,17.49443662,1891
18.62,2,1,9.31,9.31,16
1106.34,84,1.2,15.80485714,13.17071429,909
113.64,4,1.333333333,37.88,28.41,75
1627.11,81,1.5,30.13166667,20.08777778,1239
1072.63,79,1.612244898,21.89040816,13.57759494,1130
972.52,31,1.107142857,34.73285714,31.3716129,555
844.42,14,1,60.31571429,60.31571429,630
405.05,90,1.525423729,6.865254237,4.500555556,333
117.21,10,1.428571429,16.74428571,11.721,96
213.41,11,1,19.40090909,19.40090909,117
1137.7,116,1.567567568,15.37432432,9.807758621,772
21.96,1,1,21.96,21.96,19
523.24,129,1.816901408,7.369577465,4.056124031,398
837.22,26,1.04,33.4888,32.20076923,672
275.26,15,1.153846154,21.17384615,18.35066667,260
3628.25,166,2.405797101,52.58333333,21.85692771,2522
2422.1,140,1.944444444,33.64027778,17.30071429,1346
1766.94,85,1.370967742,28.49903226,20.78752941,1783
817.97,44,1.466666667,27.26566667,18.59022727,818
274.77,6,1,45.795,45.795,258
29.99,5,1,5.998,5.998,29
34.79,7,1,4.97,4.97,22
2863.27,114,1.461538462,36.70858974,25.11640351,2303
44.78,1,1,44.78,44.78,48
2034.47,144,1.92,27.12626667,14.12826389,1406
40.71,7,1.166666667,6.785,5.815714286,33
320.35,12,1.090909091,29.12272727,26.69583333,249
101.52,4,1.333333333,33.84,25.38,112
77.63,4,1,19.4075,19.4075,59
24.48,14,1,1.748571429,1.748571429,36
343.97,14,1.076923077,26.45923077,24.56928571,310
1509.29,34,1.0625,47.1653125,44.39088235,1283
326.97,20,1.176470588,19.23352941,16.3485,244
536.03,33,1.833333333,29.77944444,16.24333333,398
5078.03,165,1.793478261,55.19597826,30.77593939,4562
241.55,10,1,24.155,24.155,191
2266.26,53,1.292682927,55.27463415,42.75962264,1804
560.8,37,1.275862069,19.33793103,15.15675676,374
425.05,14,1.166666667,35.42083333,30.36071429,198
396.04,15,1.153846154,30.46461538,26.40266667,311
94.12,4,1,23.53,23.53,48
1220.24,111,1.608695652,17.68463768,10.99315315,1006
447.26,91,1.857142857,9.127755102,4.914945055,451
37.92,9,1.285714286,5.417142857,4.213333333,26
23.25,1,1,23.25,23.25,15
51.6,3,1,17.2,17.2,43
43.7,11,1.222222222,4.855555556,3.972727273,51
23.81,7,1,3.401428571,3.401428571,25
3608.62,261,2.558823529,35.37862745,13.82613027,2838
36.95,2,1,18.475,18.475,11
316.31,33,1.222222222,11.71518519,9.585151515,210
1600.15,106,1.308641975,19.75493827,15.09575472,1338
5402.7,481,4.256637168,47.81150442,11.23222453,3673
75.03,9,1,8.336666667,8.336666667,83
31.54,2,1,15.77,15.77,29
537.91,15,1.071428571,38.42214286,35.86066667,263
1504.3,110,1.358024691,18.57160494,13.67545455,1171
1313.4,38,1.1875,41.04375,34.56315789,918
24.64,9,1,2.737777778,2.737777778,26
123.2,8,1,15.4,15.4,84
14.21,1,1,14.21,14.21,17
32.06,6,1,5.343333333,5.343333333,25
22.59,1,1,22.59,22.59,18
80.43,15,1.153846154,6.186923077,5.362,77
249,38,1.085714286,7.114285714,6.552631579,223
3258.46,120,1.538461538,41.77512821,27.15383333,2690
29.57,15,1.071428571,2.112142857,1.971333333,32
348.23,17,1.0625,21.764375,20.48411765,153
574.1,38,1.055555556,15.94722222,15.10789474,428
32.08,2,1,16.04,16.04,26
18.11,1,1,18.11,18.11,12
199.07,19,1.055555556,11.05944444,10.47736842,157
1381.38,65,1.140350877,24.23473684,21.252,957
483.69,5,1,96.738,96.738,384
1325.7,93,1.107142857,15.78214286,14.25483871,1628
78.38,10,1.25,9.7975,7.838,33
524.33,41,1.108108108,14.17108108,12.78853659,257
224.69,9,1,24.96555556,24.96555556,112
1792.98,81,1.14084507,25.25323944,22.13555556,1743
323.67,9,1.125,40.45875,35.96333333,211
126.44,4,1,31.61,31.61,141
2090.33,98,1.484848485,31.67166667,21.32989796,1882
765.91,95,3.166666667,25.53033333,8.062210526,558
61.45,2,1,30.725,30.725,35
224.93,27,1.173913043,9.779565217,8.330740741,175
461.39,12,1.090909091,41.94454545,38.44916667,377
674.43,46,1.179487179,17.29307692,14.66152174,355
46.26,2,1,23.13,23.13,19
900.3,82,1.242424242,13.64090909,10.97926829,912
6.48,1,1,6.48,6.48,4
4021.11,100,1.219512195,49.03792683,40.2111,4023
4026.62,79,1.112676056,56.71295775,50.96987342,2311
2081,43,1.102564103,53.35897436,48.39534884,1213
600.38,20,1.052631579,31.59894737,30.019,398
529.81,15,1,35.32066667,35.32066667,462
257.03,41,1.464285714,9.179642857,6.26902439,200
404.06,19,1,21.26631579,21.26631579,296
723.95,51,1.545454545,21.93787879,14.19509804,786
2493.83,103,1.240963855,30.04614458,24.21194175,1705
992.67,28,1.166666667,41.36125,35.4525,555
1.99,1,1,1.99,1.99,1
4739.55,287,2.5625,42.31741071,16.5141115,3656
587.12,77,1.571428571,11.98204082,7.624935065,486
481.69,46,1.352941176,14.16735294,10.47152174,448
417.39,62,1.675675676,11.28081081,6.732096774,251
27.6,1,1,27.6,27.6,24
139.93,15,1,9.328666667,9.328666667,78
2594.02,228,2.054054054,23.36954955,11.3772807,2503
523.87,29,1.380952381,24.94619048,18.06448276,317
332.72,58,1.45,8.318,5.736551724,182
1354.04,63,1.05,22.56733333,21.49269841,1325
92.82,6,1.2,18.564,15.47,81
1036.55,63,1.369565217,22.53369565,16.4531746,1005
835.03,46,1.393939394,25.30393939,18.15282609,706
817.29,68,1.36,16.3458,12.01897059,662
102.16,6,1.5,25.54,17.02666667,80
368.49,31,1.192307692,14.17269231,11.88677419,280
4017.75,265,2.476635514,37.54906542,15.16132075,3703
2348.45,56,1.12,46.969,41.93660714,1609
1469.19,90,1.428571429,23.32047619,16.32433333,1148
354.57,7,1,50.65285714,50.65285714,282
497.18,11,1,45.19818182,45.19818182,466
125.18,7,1.166666667,20.86333333,17.88285714,70
477.66,30,1.304347826,20.76782609,15.922,331
2324.38,77,1.283333333,38.73966667,30.18675325,1710
140.68,9,1.125,17.585,15.63111111,102
59.8,13,1.444444444,6.644444444,4.6,164
52.16,10,1.428571429,7.451428571,5.216,45
20.32,3,1,6.773333333,6.773333333,23
34.92,1,1,34.92,34.92,24
27.02,4,1,6.755,6.755,13
647.23,84,1.787234043,13.77085106,7.705119048,576
245.22,9,1.5,40.87,27.24666667,256
1300.51,148,3.217391304,28.27195652,8.78722973,864
68.64,3,1,22.88,22.88,63
88.07,2,1,44.035,44.035,37
16.98,2,1,8.49,8.49,14
521.36,33,1.137931034,17.97793103,15.79878788,383
124.63,15,1.25,10.38583333,8.308666667,126
308.95,15,1,20.59666667,20.59666667,265
646.21,180,1.894736842,6.802210526,3.590055556,565
4365.79,378,3.25862069,37.63612069,11.54970899,4510
398.96,136,1.658536585,4.865365854,2.933529412,361
4.75,1,1,4.75,4.75,4
134.34,11,1.1,13.434,12.21272727,112
38.43,3,1.5,19.215,12.81,27
2168.03,417,3.626086957,18.85243478,5.19911271,1918
258.81,9,1.125,32.35125,28.75666667,199
149.91,22,1.047619048,7.138571429,6.814090909,111
58.23,2,2,58.23,29.115,36
646.51,118,1.815384615,9.946307692,5.478898305,460
159.22,13,1.181818182,14.47454545,12.24769231,106
1891.95,57,1.295454545,42.99886364,33.19210526,1317
73.85,6,1,12.30833333,12.30833333,65
197.46,9,1,21.94,21.94,225
130.41,10,1.111111111,14.49,13.041,94
65.97,1,1,65.97,65.97,28
305.57,9,1.125,38.19625,33.95222222,242
1289.44,38,1,33.93263158,33.93263158,1091
428.28,40,1.176470588,12.59647059,10.707,298
1176.62,18,1,65.36777778,65.36777778,624
2.41,1,1,2.41,2.41,2
754.23,22,1.466666667,50.282,34.28318182,654
389.73,49,1.139534884,9.063488372,7.953673469,308
522.41,55,1.486486486,14.11918919,9.498363636,413
515.92,16,1.066666667,34.39466667,32.245,304
181.19,9,1,20.13222222,20.13222222,103
6.69,5,1,1.338,1.338,8
887.14,28,1.217391304,38.57130435,31.68357143,680
415.88,129,1.5,4.835813953,3.223875969,372
1608.55,162,1.636363636,16.2479798,9.929320988,1923
1092.05,201,2.161290323,11.74247312,5.433084577,792
1815.85,74,1.193548387,29.28790323,24.53851351,1446
